Wav_id,H_MaxP,A_MaxP,H_Max,A_Max,AUO_Left_H_70,AUO_Right_H_50,AUO_Right_H_60,AUO_Right_H_70,AUO_Left_A_70,AUO_Right_A_50,AUO_Right_A_60,AUO_Right_A_70,W_Left_H_70,W_Right_H_50,W_Right_H_60,W_Right_H_70,W_Left_A_70,W_Right_A_50,W_Right_A_60,W_Right_A_70,Mean_beat_highcP,Mean_beat_lowcP,Mean_beat_medcP,Mean_beat_Slope_until_50,Mean_beat_Slope_until_70
1,105.87732962451,98.821347404357,6.14112647253702,2.16551207773423,4.56853169679249,15.6711639989015,11.2230844938803,6.91671077277087,2.88059009588561,11.1396784198878,7.23008743894458,3.98538985303011,22.5791431044901,55.0366613171946,43.7470897649496,35.2799111007658,15.523160884337,45.1582862089802,38.1023039888271,29.6351253246433,0.322052139255208,0.480745397035702,0.431004367374166,12.8424581784748,14.2475514123923
2,105.571884492373,102.925047729778,5.96030612163027,2.21286733481223,3.63231113466716,12.0584388746725,7.43973935969806,4.46775634221545,2.59206205493335,7.18552866308215,4.43094382477692,2.23739559018022,19.8512757194576,41.0259698202124,33.0854595324294,29.1152043885378,15.8810205755661,34.4088779137266,27.7917860072407,15.8810205755661,0.317878504681729,0.474743140661689,0.480069053130218,13.1085877581562,14.8699283905782
3,104.701306022026,101.46075958354,7.02776882784494,2.26922835985955,3.40510284442574,12.1220127606673,8.43803946691707,5.05823036123884,2.50960911526224,8.74961197275533,5.71333331215005,3.45056028427782,19.4432786309167,45.3676501388056,37.2662840425903,30.7851911656181,16.2027321924306,38.8865572618334,34.0257376041042,24.3040982886458,0.299377420570526,0.457864370100131,0.436028059670014,12.7570261846512,14.4095452242626
4,106.371555117051,96.7138729105164,7.30425908335044,2.33319455875831,4.9803316730252,10.8958387815138,6.83501927471329,4.12880197357577,2.53202203641633,9.21391224021051,6.88488875074149,3.76651747453905,24.1442055163373,43.4595699294072,32.1922740217831,27.3634329185156,14.4865233098024,40.2403425272288,35.4115014239614,24.1442055163373,0.302028230876794,0.451436499413913,0.373509017520666,13.5482138678924,15.4355920582109
5,94.0693312316996,89.0368652152447,3.01223050702728,1.27939639798193,3.44787116651009,7.06510074051922,4.8403960600366,2.93149407012818,2.5619896065758,7.4501343287399,4.95093383938997,3.40690315551421,16.7748867215163,24.3235857461987,20.9686084018954,17.6136310575921,12.5811650411372,25.1623300822745,21.8073527379712,19.2911197297438,0.355890391653425,0.533015231355612,0.417009523547986,12.7083498824352,14.1857535088164
6,89.4825659781373,86.1764475644622,3.04300058732892,1.27649822202928,2.94261414917324,8.21160928823283,6.13463052006844,3.88965594743755,2.57351242979789,7.44756318616781,5.51602750003325,3.16617223959886,14.877532861538,28.1020065162384,25.6224177059821,22.316299292307,13.2244736547004,26.4489473094009,23.9693584991445,19.8367104820507,0.325962163199621,0.532655111290371,0.445211888389077,14.5977798150798,16.3989481582979
7,86.3197183894573,85.4386040185998,4.44849790237122,1.47428295094655,2.93321845508167,8.04424378991341,5.02394775081292,3.13012261695211,2.78300340076971,6.06800914152371,4.18750754010954,2.26584099674575,15.8600586754338,29.9578886091526,24.6712023840081,19.3845161588635,14.9789443045763,22.0278592714358,18.5034017880061,14.9789443045763,0.298408643854752,0.422366314693218,0.403553018167196,12.0971555780452,13.8383886979681
8,84.829888703862,79.5072981793049,4.28168722626959,1.53203687679591,3.68643300118889,6.37796880913836,4.44169707039681,2.60100123217077,2.47845625126458,7.25390983903125,4.76718464025892,2.88047847263009,18.6290668359497,24.8387557812663,21.2903620982283,16.8548699944307,12.4193778906332,24.8387557812663,21.2903620982283,17.7419684151902,0.297432728835692,0.378222901542253,0.382346337706371,14.5566245608156,16.2537929957417
9,105.556774903253,90.8916102836135,2.81650050639371,1.30986526369209,5.04553218542921,9.29465739957506,7.34242971108835,4.30157024645674,2.23553037120759,11.4144494506873,7.15834657107182,4.43257407505929,23.6898813086488,31.5865084115317,29.3303292392794,24.8179708947749,11.2808958612613,40.6112251005408,34.9707771699101,30.4584188254056,0.331985735858821,0.5660622702718,0.393361302856443,16.7433130010695,18.4788451875198
10,117.803507824271,91.480125661222,3.19042704452626,1.5178355316574,7.67706729545026,6.57059380866948,4.2325530817918,2.64657578133469,2.14295773523284,11.3370084493674,7.61286437462332,4.14455561545463,36.308113328343,22.6925708302143,19.0617594973801,16.3386509977543,10.8924339985029,42.662033160803,39.0312218279687,33.5850048287172,0.300767735267359,0.53597582717214,0.37663079618901,16.9816923726102,19.3592777006094
